
GS_CONFIG: Reading configuration from file speedtest_ba.cfg
GS_CONFIG: Executing command CONNECT(master.out,memoryport,)
GS_CONFIG: Binding initiator to target: master.out(memoryport)
GS_CONFIG: Configuring value of param [size] in module [memory] to [0x200000]
GS_CONFIG: Configuring value of param [clk_period] in module [memory] to [10]
GS_CONFIG: Configuring value of param [write_ws] in module [memory] to [7]
GS_CONFIG: Configuring value of param [read_ws] in module [memory] to [11]
GS_CONFIG: Configuring value of param [init_size] in module [master] to [0x100000]
GS_CONFIG: Configuring value of param [write_size] in module [master] to [0]
GS_CONFIG: Configuring value of param [read_size] in module [master] to [0]
GS_CONFIG: Configuring value of param [write_inc] in module [master] to [1024]
GS_CONFIG: Configuring value of param [read_inc] in module [master] to [1024]
GS_CONFIG: Configuring value of param [write_count] in module [master] to [100000]
GS_CONFIG: Configuring value of param [read_count] in module [master] to [0]
GS_CONFIG: Configuring value of param [loops] in module [master] to [100]

Speedtest running forever

write (# transactions, bytes, us, cycles), 100000, 0, 273788, 1
write (# transactions, bytes, us, cycles), 100000, 1024, 310114, 72
write (# transactions, bytes, us, cycles), 100000, 2048, 315770, 136
write (# transactions, bytes, us, cycles), 100000, 3072, 323819, 200
write (# transactions, bytes, us, cycles), 100000, 4096, 327886, 264
write (# transactions, bytes, us, cycles), 100000, 5120, 333590, 328
write (# transactions, bytes, us, cycles), 100000, 6144, 343932, 392
write (# transactions, bytes, us, cycles), 100000, 7168, 347782, 456
write (# transactions, bytes, us, cycles), 100000, 8192, 353021, 520
write (# transactions, bytes, us, cycles), 100000, 9216, 368897, 584
write (# transactions, bytes, us, cycles), 100000, 10240, 389283, 648
write (# transactions, bytes, us, cycles), 100000, 11264, 392012, 712
write (# transactions, bytes, us, cycles), 100000, 12288, 406832, 776
write (# transactions, bytes, us, cycles), 100000, 13312, 433163, 840
write (# transactions, bytes, us, cycles), 100000, 14336, 461175, 904
write (# transactions, bytes, us, cycles), 100000, 15360, 494073, 968
write (# transactions, bytes, us, cycles), 100000, 16384, 520649, 1032
write (# transactions, bytes, us, cycles), 100000, 17408, 535277, 1096
write (# transactions, bytes, us, cycles), 100000, 18432, 547499, 1160
write (# transactions, bytes, us, cycles), 100000, 19456, 566367, 1224
write (# transactions, bytes, us, cycles), 100000, 20480, 583488, 1288
write (# transactions, bytes, us, cycles), 100000, 21504, 596281, 1352
write (# transactions, bytes, us, cycles), 100000, 22528, 610819, 1416
write (# transactions, bytes, us, cycles), 100000, 23552, 623713, 1480
write (# transactions, bytes, us, cycles), 100000, 24576, 636806, 1544
write (# transactions, bytes, us, cycles), 100000, 25600, 650556, 1608
write (# transactions, bytes, us, cycles), 100000, 26624, 665719, 1672
write (# transactions, bytes, us, cycles), 100000, 27648, 675778, 1736
write (# transactions, bytes, us, cycles), 100000, 28672, 688850, 1800
write (# transactions, bytes, us, cycles), 100000, 29696, 702436, 1864
write (# transactions, bytes, us, cycles), 100000, 30720, 716160, 1928
write (# transactions, bytes, us, cycles), 100000, 31744, 729465, 1992
write (# transactions, bytes, us, cycles), 100000, 32768, 771018, 2056
write (# transactions, bytes, us, cycles), 100000, 33792, 764868, 2120
write (# transactions, bytes, us, cycles), 100000, 34816, 778631, 2184
