
GS_CONFIG: Reading configuration from file speedtest_ct.cfg
GS_CONFIG: Executing command CONNECT(master.out,memoryport,)
GS_CONFIG: Binding initiator to target: master.out(memoryport)
GS_CONFIG: Configuring value of param [size] in module [memory] to [0x200000]
GS_CONFIG: Configuring value of param [clk_period] in module [memory] to [10]
GS_CONFIG: Configuring value of param [write_ws] in module [memory] to [7]
GS_CONFIG: Configuring value of param [read_ws] in module [memory] to [11]
GS_CONFIG: Configuring value of param [simulation_mode] in module [memory] to [1]
GS_CONFIG: Configuring value of param [init_size] in module [master] to [0x100000]
GS_CONFIG: Configuring value of param [write_size] in module [master] to [0]
GS_CONFIG: Configuring value of param [read_size] in module [master] to [0]
GS_CONFIG: Configuring value of param [write_inc] in module [master] to [1024]
GS_CONFIG: Configuring value of param [read_inc] in module [master] to [1024]
GS_CONFIG: Configuring value of param [write_count] in module [master] to [100000]
GS_CONFIG: Configuring value of param [read_count] in module [master] to [0]
GS_CONFIG: Configuring value of param [loops] in module [master] to [100]

Speedtest running forever

write (# transactions, bytes, us, cycles), 100000, 0, 270684, 1
write (# transactions, bytes, us, cycles), 100000, 1024, 2034238, 72
write (# transactions, bytes, us, cycles), 100000, 2048, 3725372, 136
write (# transactions, bytes, us, cycles), 100000, 3072, 5414435, 200
write (# transactions, bytes, us, cycles), 100000, 4096, 7152547, 264
write (# transactions, bytes, us, cycles), 100000, 5120, 8845389, 328
write (# transactions, bytes, us, cycles), 100000, 6144, 10547792, 392
write (# transactions, bytes, us, cycles), 100000, 7168, 12176873, 456
write (# transactions, bytes, us, cycles), 100000, 8192, 13871872, 520
write (# transactions, bytes, us, cycles), 100000, 9216, 15571042, 584
write (# transactions, bytes, us, cycles), 100000, 10240, 17336360, 648
write (# transactions, bytes, us, cycles), 100000, 11264, 19120445, 712
write (# transactions, bytes, us, cycles), 100000, 12288, 20692459, 776
write (# transactions, bytes, us, cycles), 100000, 13312, 22382791, 840
write (# transactions, bytes, us, cycles), 100000, 14336, 24076413, 904
write (# transactions, bytes, us, cycles), 100000, 15360, 25790229, 968
write (# transactions, bytes, us, cycles), 100000, 16384, 27642083, 1032
write (# transactions, bytes, us, cycles), 100000, 17408, 29228981, 1096
write (# transactions, bytes, us, cycles), 100000, 18432, 30937462, 1160
write (# transactions, bytes, us, cycles), 100000, 19456, 32636634, 1224
write (# transactions, bytes, us, cycles), 100000, 20480, 34301406, 1288
write (# transactions, bytes, us, cycles), 100000, 21504, 35976419, 1352
write (# transactions, bytes, us, cycles), 100000, 22528, 37664301, 1416
write (# transactions, bytes, us, cycles), 100000, 23552, 39296099, 1480
write (# transactions, bytes, us, cycles), 100000, 24576, 40994464, 1544
write (# transactions, bytes, us, cycles), 100000, 25600, 42829682, 1608
write (# transactions, bytes, us, cycles), 100000, 26624, 44497105, 1672
write (# transactions, bytes, us, cycles), 100000, 27648, 46158503, 1736
write (# transactions, bytes, us, cycles), 100000, 28672, 47880762, 1800
write (# transactions, bytes, us, cycles), 100000, 29696, 49579949, 1864
write (# transactions, bytes, us, cycles), 100000, 30720, 51285640, 1928
write (# transactions, bytes, us, cycles), 100000, 31744, 53009888, 1992
write (# transactions, bytes, us, cycles), 100000, 32768, 55149501, 2056
write (# transactions, bytes, us, cycles), 100000, 33792, 56938496, 2120
write (# transactions, bytes, us, cycles), 100000, 34816, 58518646, 2184
write (# transactions, bytes, us, cycles), 100000, 35840, 60197917, 2248
write (# transactions, bytes, us, cycles), 100000, 36864, 62507890, 2312
