
GS_CONFIG: Reading configuration from file speedtest_simplebus_ct.cfg
GS_CONFIG: Executing command BUS(bus,SimpleBus,10,SC_NS,)
GS_CONFIG: Creating bus [bus] with type SimpleBus and clock period 10 ns
GS_CONFIG: Executing command CONNECT(master.out,bus.tport,bus.iport,memoryport,)
GS_CONFIG: Binding initiator to router: master.out(bus.tport)
GS_CONFIG: Binding router to target: bus.iport(memoryport)
GS_CONFIG: Configuring value of param [size] in module [memory] to [0x200000]
GS_CONFIG: Configuring value of param [clk_period] in module [memory] to [10]
GS_CONFIG: Configuring value of param [write_ws] in module [memory] to [7]
GS_CONFIG: Configuring value of param [read_ws] in module [memory] to [11]
GS_CONFIG: Configuring value of param [simulation_mode] in module [memory] to [1]
GS_CONFIG: Configuring value of param [init_size] in module [master] to [0x100000]
GS_CONFIG: Configuring value of param [write_size] in module [master] to [0]
GS_CONFIG: Configuring value of param [read_size] in module [master] to [0]
GS_CONFIG: Configuring value of param [write_inc] in module [master] to [1024]
GS_CONFIG: Configuring value of param [read_inc] in module [master] to [1024]
GS_CONFIG: Configuring value of param [write_count] in module [master] to [100000]
GS_CONFIG: Configuring value of param [read_count] in module [master] to [0]
GS_CONFIG: Configuring value of param [loops] in module [master] to [100]

Speedtest running forever

write (# transactions, bytes, us, cycles), 100000, 0, 466821, 2
write (# transactions, bytes, us, cycles), 100000, 1024, 2219162, 73
write (# transactions, bytes, us, cycles), 100000, 2048, 3904342, 137
write (# transactions, bytes, us, cycles), 100000, 3072, 5627370, 201
write (# transactions, bytes, us, cycles), 100000, 4096, 7328922, 265
write (# transactions, bytes, us, cycles), 100000, 5120, 9002748, 329
write (# transactions, bytes, us, cycles), 100000, 6144, 10713013, 393
write (# transactions, bytes, us, cycles), 100000, 7168, 12453409, 457
write (# transactions, bytes, us, cycles), 100000, 8192, 14571998, 521
write (# transactions, bytes, us, cycles), 100000, 9216, 15993581, 585
write (# transactions, bytes, us, cycles), 100000, 10240, 18276636, 649
write (# transactions, bytes, us, cycles), 100000, 11264, 19766877, 713
write (# transactions, bytes, us, cycles), 100000, 12288, 21522579, 777
write (# transactions, bytes, us, cycles), 100000, 13312, 23358753, 841
write (# transactions, bytes, us, cycles), 100000, 14336, 24815070, 905
write (# transactions, bytes, us, cycles), 100000, 15360, 26203682, 969
write (# transactions, bytes, us, cycles), 100000, 16384, 27809751, 1033
write (# transactions, bytes, us, cycles), 100000, 17408, 29459768, 1097
write (# transactions, bytes, us, cycles), 100000, 18432, 31123507, 1161
write (# transactions, bytes, us, cycles), 100000, 19456, 32874589, 1225
write (# transactions, bytes, us, cycles), 100000, 20480, 34662274, 1289
