
GS_CONFIG: Reading configuration from file speedtest_simplebus_pv.cfg
GS_CONFIG: Executing command BUS(bus,SimpleBus,10,SC_NS,)
GS_CONFIG: Creating bus [bus] with type SimpleBus and clock period 10 ns
GS_CONFIG: Executing command CONNECT(master.out,bus.tport,bus.iport,memoryport,)
GS_CONFIG: Binding initiator to router: master.out(bus.tport)
GS_CONFIG: Binding router to target: bus.iport(memoryport)
GS_CONFIG: Configuring value of param [size] in module [memory] to [0x200000]
GS_CONFIG: Configuring value of param [clk_period] in module [memory] to [10]
GS_CONFIG: Configuring value of param [write_ws] in module [memory] to [7]
GS_CONFIG: Configuring value of param [read_ws] in module [memory] to [11]
GS_CONFIG: Configuring value of param [init_size] in module [master] to [0x100000]
GS_CONFIG: Configuring value of param [write_size] in module [master] to [0]
GS_CONFIG: Configuring value of param [read_size] in module [master] to [0]
GS_CONFIG: Configuring value of param [write_inc] in module [master] to [1024]
GS_CONFIG: Configuring value of param [read_inc] in module [master] to [1024]
GS_CONFIG: Configuring value of param [write_count] in module [master] to [100000]
GS_CONFIG: Configuring value of param [read_count] in module [master] to [0]
GS_CONFIG: Configuring value of param [loops] in module [master] to [100]
GS_CONFIG: Configuring value of param [simulation_mode] in module [master.out] to [1]

Speedtest running forever

write (# transactions, bytes, us, cycles), 100000, 0, 70948, 1
write (# transactions, bytes, us, cycles), 100000, 1024, 106373, 72
write (# transactions, bytes, us, cycles), 100000, 2048, 110130, 136
write (# transactions, bytes, us, cycles), 100000, 3072, 115937, 200
write (# transactions, bytes, us, cycles), 100000, 4096, 121833, 264
write (# transactions, bytes, us, cycles), 100000, 5120, 129613, 328
write (# transactions, bytes, us, cycles), 100000, 6144, 135965, 392
write (# transactions, bytes, us, cycles), 100000, 7168, 141771, 456
write (# transactions, bytes, us, cycles), 100000, 8192, 148216, 520
write (# transactions, bytes, us, cycles), 100000, 9216, 162101, 584
write (# transactions, bytes, us, cycles), 100000, 10240, 175101, 648
write (# transactions, bytes, us, cycles), 100000, 11264, 181069, 712
write (# transactions, bytes, us, cycles), 100000, 12288, 190914, 776
write (# transactions, bytes, us, cycles), 100000, 13312, 222179, 840
write (# transactions, bytes, us, cycles), 100000, 14336, 250510, 904
write (# transactions, bytes, us, cycles), 100000, 15360, 268511, 968
write (# transactions, bytes, us, cycles), 100000, 16384, 291698, 1032
write (# transactions, bytes, us, cycles), 100000, 17408, 304961, 1096
write (# transactions, bytes, us, cycles), 100000, 18432, 323091, 1160
write (# transactions, bytes, us, cycles), 100000, 19456, 351868, 1224
write (# transactions, bytes, us, cycles), 100000, 20480, 373543, 1288
